id,endpoint_or_feature,classification,used_in_test_file,notes
S1,/usuario/add_reservation,A,test_usuario_add_reservation_rag.py,"Caso feliz y varias validaciones (body vacío, email inválido, status inválido, campo faltante, ruta no asociada, asiento inexistente/no libre) usados casi tal cual."
S2,/usuario/delete_reservation,B,test_usuario_delete_reservation_rag.py,"Se propuso probar doble DELETE (200 primero, 404 después). El backend devuelve 200 en ambos casos; el test se ajustó para reflejar discrepancia de negocio."
S3,/usuario/create_payment,A,test_usuario_create_payment_rag.py,"Sugerencias de validar body vacío, reservation_id inválido, método de pago inválido, moneda inválida, reserva inexistente y caso feliz; se implementaron casi sin cambios."
S4,/usuario/edit_payment,B,test_usuario_edit_payment_rag.py,"Idea de validar payment_id inválido, body vacío, campos extra y pago inexistente. Se ajustaron mensajes de error y nombres de campos a la implementación real."
S5,/usuario/get_payment_by_id,A,test_usuario_get_payments_rag.py,"Sugerencias de probar formato inválido de payment_id, pago inexistente y caso feliz; usadas de forma directa en los tests."
S6,/usuario/get_reservations_by_code_and_id,A,test_usuario_get_reservations_rag.py,"Casos de código vacío, código inexistente, id igual a 0, id negativo, id inexistente y casos felices; las variantes coinciden con lo sugerido."
S7,/usuario/get_all_airplanes_routes_y_seats,A,"test_usuario_airplanes_lists_rag.py;test_usuario_flights_routes_seats_rag.py","Sugerencias de listar aviones/rutas y probar IDs inválidos y rutas inexistentes; se reflejan en los tests de rutas y asientos."
S8,/usuario/cancel_payment_and_reservation,B,test_usuario_cancel_payment_and_reservation_rag.py,"Caso de payment_id con formato inválido, payment_id inexistente y caso feliz. El happy path quedó marcado SKIPPED por limitaciones del backend."
S9,/gestionvuelos/add_airplane,A,test_gestionvuelos_rag.py,"Sugerencias de happy path, body vacío, año inválido, capacidad inválida, campos faltantes y campos extra; se implementaron como batería de validaciones básicas."
S10,/gestionvuelos/add_airplane_route,A,test_gestionvuelos_rag.py,"Casos para ruta válida, avión inexistente, moneda inválida, arrival_time < departure_time y ID de ruta duplicado; la estructura sigue la propuesta original."
S11,/gestionreservas/add_reservation,B,"test_gestionreservas_add_reservation_rag.py;test_reservas.py","Se usaron sugerencias de body vacío, email inválido, campo faltante y ruta no asociada. El manejo del campo 'status' requirió ajustes posteriores al detectar que todos los valores iniciales eran rechazados."
S12,/usuario/end_to_end_reservation_payment_and_cancel,B,test_usuario.py,"Se propuso un flujo E2E (crear reserva, crear pago, verificar, cancelar y verificar eliminación). La idea se implementó, pero la prueba expone un timeout en /usuario/add_reservation."
S13,/tests/ai/test_ai_workflow,C,test_ai_workflow.py,"Propuesta de flujo AI workflow con cliente RAG basado en ChromaDB. No se pudo ejecutar en el entorno actual por falta de la dependencia 'chromadb', por lo que se considera no utilizable en esta iteración."
S14,/usuario/health,A,test_usuario_health_rag.py,"Sugerencia de incluir un health check simple marcado con @pytest.mark.healthcheck; se implementó casi sin cambios."
S15,/gestionreservas/status_enum_reservation,B,test_reservas.py,"Sugerencia de intentar deducir automáticamente el enum de 'status' desde el spec y, en su defecto, probar múltiples valores de respaldo. El experimento obligó a revisar el esquema real al rechazar todos los candidatos iniciales."
S16,/add_airplane,A,test_ai_workflow.py,"Payloads generados automáticamente, verificados con GET /get_airplane_by_id y contrato alineado con /openapi.json"
